Date      Mom   
196302   2.50
196303   1.58
196304  -0.08
196305   0.37
196306   1.18
196307   0.99
196308   1.08
196309   0.13
196310   3.14
196311  -0.75
196312   1.69
196401   1.10
196402   0.25
196403   0.71
196404  -0.59
196405   2.56
196406   0.49
196407  -0.32
196408  -0.21
196409  -0.39
196410   0.18
196411   1.10
196412  -0.71
196501  -1.31
196502   0.28
196503   0.09
196504   2.54
196505   0.54
196506  -3.13
196507   4.09
196508   2.58
196509   3.32
196510   3.44
196511   4.41
196512   0.13
196601   5.39
196602   4.54
196603   1.35
196604   6.21
196605  -4.72
196606   3.34
196607  -1.41
196608  -2.09
196609  -1.77
196610  -5.14
196611   5.73
196612   1.07
196701  -6.75
196702   3.56
196703   1.43
196704   0.62
196705   0.59
196706   6.04
196707  -1.09
196708  -1.42
196709   2.55
196710   3.64
196711   1.29
196712   3.23
196801  -4.64
196802  -3.40
196803   3.18
196804   5.15
196805   3.73
196806  -1.92
196807  -0.85
196808   1.88
196809  -0.66
196810  -1.50
196811   1.66
196812   0.10
196901  -0.15
196902  -2.49
196903   3.96
196904   1.18
196905   1.67
196906  -2.23
196907   1.64
196908   2.13
196909   2.50
196910  -4.33
196911   3.60
196912   5.04
197001   0.63
197002   0.12
197003  -0.28
197004  -0.70
197005  -2.68
197006   5.78
197007  -2.94
197008  -6.49
197009  -8.92
197010   9.61
197011   2.88
197012  -2.21
197101  -6.59
197102   0.81
197103  -1.22
197104   1.31
197105   0.88
197106   2.70
197107  -2.36
197108   3.51
197109   2.09
197110   0.46
197111   1.47
197112  -0.68
197201   0.24
197202   2.71
197203   2.91
197204   2.90
197205   3.18
197206   1.92
197207   2.75
197208  -5.34
197209   1.75
197210   0.75
197211  -5.17
197212   4.99
197301   3.72
197302   2.12
197303   3.62
197304   6.32
197305   7.08
197306   4.32
197307 -11.58
197308   3.42
197309  -7.02
197310   6.73
197311   8.63
197312  10.26
197401  -8.82
197402   0.13
197403  -0.99
197404   2.00
197405  -0.25
197406   2.38
197407   3.01
197408   3.07
197409   4.32
197410  -0.71
197411   2.18
197412   2.94
197501 -13.80
197502  -0.58
197503  -1.99
197504   1.34
197505  -0.47
197506   0.05
197507   0.43
197508  -0.13
197509   0.33
197510  -0.14
197511  -0.45
197512  -0.12
197601   4.45
197602   0.41
197603   0.19
197604   0.50
197605  -1.11
197606  -0.43
197607  -0.12
197608  -0.85
197609   0.25
197610  -0.46
197611   2.92
197612   0.77
197701   3.94
197702   0.38
197703   0.49
197704   4.24
197705   2.03
197706   1.78
197707   0.31
197708  -1.74
197709   2.06
197710  -0.12
197711   2.20
197712   1.56
197801  -0.72
197802   1.90
197803   1.37
197804   0.84
197805   2.85
197806   2.78
197807   4.23
197808   2.85
197809  -3.14
197810  -8.38
197811   5.49
197812   3.05
197901  -1.26
197902  -1.05
197903   2.89
197904   0.80
197905  -0.26
197906   0.84
197907  -1.09
197908  -0.23
197909   5.32
197910   2.15
197911   7.95
197912   4.77
198001   7.50
198002   7.86
198003  -9.58
198004  -0.44
198005  -1.11
198006   1.58
198007   0.37
198008   3.20
198009   5.43
198010   7.33
198011  15.24
198012  -6.63
198101  -7.94
198102  -1.39
198103   0.75
198104  -0.96
198105   3.75
198106  -5.91
198107  -2.52
198108  -1.11
198109   1.98
198110   4.08
198111  -0.27
198112   1.32
198201   1.71
198202   4.99
198203   2.93
198204  -0.41
198205   2.55
198206   4.99
198207   4.46
198208  -3.52
198209   4.19
198210   0.02
198211   5.91
198212   0.02
198301  -1.70
198302   3.82
198303   0.93
198304   1.81
198305  -1.50
198306   1.78
198307  -3.13
198308  -5.44
198309  -0.11
198310  -4.56
198311  -0.08
198312   0.77
198401  -2.49
198402   0.19
198403   1.10
198404   2.05
198405   1.63
198406  -0.70
198407   2.93
198408  -5.68
198409   3.70
198410   3.22
198411   1.70
198412   1.53
198501  -6.91
198502   1.82
198503   1.69
198504   3.05
198505   4.00
198506   3.63
198507  -3.94
198508   1.81
198509   1.48
198510   4.87
198511  -0.40
198512  -0.12
198601   2.96
198602   2.77
198603   2.45
198604  -0.50
198605   2.03
198606   5.14
198607   1.80
198608  -5.02
198609  -5.86
198610   2.70
198611  -0.33
198612   0.40
198701   2.08
198702  -2.17
198703   1.60
198704   0.25
198705  -0.68
198706  -0.20
198707   2.68
198708  -0.89
198709   0.72
198710  -7.88
198711  -1.12
198712   5.81
198801  -7.63
198802  -1.54
198803   0.64
198804   2.28
198805   0.65
198806  -2.91
198807   0.64
198808   0.33
198809   0.24
198810   1.31
198811   0.41
198812   0.42
198901  -0.14
198902   0.93
198903   3.56
198904   1.70
198905   1.54
198906   0.66
198907   5.40
198908  -0.14
198909   3.39
198910   1.37
198911   2.57
198912   2.78
199001  -3.32
199002  -0.52
199003   1.66
199004   2.46
199005   3.05
199006   2.40
199007   5.93
199008   1.80
199009   5.52
199010   6.73
199011  -5.61
199012   0.15
199101  -6.52
199102  -4.81
199103   2.81
199104  -2.39
199105  -0.11
199106   0.46
199107   4.35
199108   1.60
199109   1.73
199110   3.21
199111   1.26
199112   8.28
199201  -2.47
199202  -0.61
199203  -0.35
199204  -2.60
199205   0.10
199206  -0.61
199207   1.43
199208  -0.52
199209   1.44
199210   2.73
199211  -0.34
199212   4.47
199301   4.82
199302   3.13
199303   3.74
199304   0.34
199305   0.29
199306   4.59
199307   3.24
199308   2.58
199309   3.40
199310  -2.71
199311  -4.71
199312   2.29
199401   0.01
199402  -0.26
199403  -1.32
199404   0.41
199405  -2.19
199406  -0.83
199407   0.19
199408   1.54
199409   1.31
199410   1.47
199411  -0.19
199412   3.50
199501  -1.83
199502  -0.34
199503   0.36
199504   1.82
199505  -0.44
199506   2.90
199507   2.55
199508   0.08
199509   2.73
199510   4.14
199511  -0.61
199512   2.56
199601   0.56
199602   0.58
199603  -1.89
199604  -0.92
199605   1.60
199606   0.96
199607  -0.14
199608  -0.12
199609   2.69
199610   3.90
199611  -2.23
199612   0.59
199701   1.94
199702  -2.04
199703   0.98
199704   4.89
199705  -5.19
199706   2.59
199707   3.84
199708  -2.52
199709   1.45
199710  -0.43
199711   0.28
199712   3.85
199801   0.10
199802  -1.10
199803   2.14
199804   0.78
199805   1.89
199806   7.26
199807   3.71
199808   1.88
199809  -0.58
199810  -5.35
199811   1.18
199812   9.04
199901   3.05
199902  -0.13
199903  -1.35
199904  -9.13
199905  -5.25
199906   4.94
199907   1.59
199908   3.01
199909   6.49
199910   5.47
199911   5.66
199912  13.20
200001   1.90
200002  18.39
200003  -6.85
200004  -8.46
200005  -9.09
200006  16.53
200007  -0.07
200008   5.77
200009   2.22
200010  -4.68
200011  -2.50
200012   6.81
200101 -24.97
200102  12.59
200103   8.38
200104  -8.15
200105   2.13
200106   0.28
200107   5.55
200108   5.57
200109  11.55
200110  -8.43
200111  -8.57
200112  -0.03
200201   3.69
200202   6.80
200203  -1.72
